epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4830.04,0.68013,0.42203,1.01628,0.9025,0.84175,0.88118,0.6203,0.82235,0.64739,1.0207,0.002773,0.002773,0.002773
75,5521.49,0.67808,0.41878,1.01118,0.90386,0.84074,0.88113,0.62,0.82181,0.64833,1.02117,0.002674,0.002674,0.002674
76,6212.91,0.66865,0.41359,1.00668,0.90385,0.83855,0.88114,0.62,0.8216,0.64611,1.02185,0.002575,0.002575,0.002575
77,6904.89,0.6733,0.41736,1.01104,0.90481,0.8388,0.88157,0.62041,0.82152,0.64288,1.02293,0.002476,0.002476,0.002476
78,29616.9,0.66794,0.4098,1.00263,0.90466,0.83782,0.88149,0.6206,0.8207,0.64057,1.02285,0.002377,0.002377,0.002377
79,30306.8,0.65654,0.40643,0.99875,0.90594,0.83788,0.88161,0.62062,0.81941,0.63967,1.02208,0.002278,0.002278,0.002278
80,31014,0.65129,0.40252,0.99552,0.90405,0.83878,0.88113,0.6209,0.81863,0.6372,1.02154,0.002179,0.002179,0.002179
81,31931,0.64554,0.40046,0.99547,0.90161,0.84009,0.88102,0.62143,0.81651,0.63526,1.02065,0.00208,0.00208,0.00208
82,853.59,0.56656,0.34563,0.96457,0.90169,0.84023,0.88082,0.62183,0.81726,0.63007,1.02306,0.001981,0.001981,0.001981
83,1544.58,0.60353,0.36526,0.97809,0.90063,0.84199,0.88174,0.62031,0.81681,0.62834,1.02363,0.001882,0.001882,0.001882
84,2307.28,0.60713,0.36702,0.97906,0.90013,0.84154,0.88144,0.62132,0.81642,0.62641,1.02413,0.001783,0.001783,0.001783
85,3203.93,0.60727,0.36618,0.97607,0.90079,0.8414,0.88167,0.62111,0.81637,0.6252,1.02512,0.001684,0.001684,0.001684
86,4158.34,0.58711,0.31642,0.94046,0.90185,0.84023,0.88175,0.62097,0.81587,0.62425,1.02518,0.001585,0.001585,0.001585
87,4847.28,0.56843,0.30738,0.93437,0.90409,0.8412,0.88241,0.62192,0.81478,0.62381,1.02454,0.001486,0.001486,0.001486
88,5616.33,0.55411,0.29713,0.92665,0.90273,0.84191,0.88218,0.62201,0.81388,0.62032,1.0246,0.001387,0.001387,0.001387
89,6304.26,0.53966,0.2905,0.91946,0.9013,0.84433,0.88217,0.62243,0.81199,0.6185,1.02401,0.001288,0.001288,0.001288
90,6990.75,0.52799,0.28453,0.91183,0.90383,0.84264,0.88271,0.62268,0.81093,0.61786,1.02383,0.001189,0.001189,0.001189
91,7705.44,0.51648,0.27976,0.90745,0.90302,0.84071,0.88262,0.62317,0.80874,0.61692,1.02303,0.00109,0.00109,0.00109
92,8995.53,0.50166,0.27232,0.89916,0.90465,0.8406,0.88327,0.62428,0.80662,0.61455,1.02255,0.000991,0.000991,0.000991
93,10265.1,0.49397,0.26598,0.89664,0.9047,0.83923,0.88248,0.62436,0.80486,0.61143,1.022,0.000892,0.000892,0.000892
94,11541.1,0.48484,0.25991,0.89344,0.90356,0.83916,0.88259,0.6245,0.80361,0.60963,1.02193,0.000793,0.000793,0.000793
95,690.049,0.50707,0.30942,0.93903,0.90512,0.83825,0.88251,0.62411,0.80342,0.61084,1.02274,0.000694,0.000694,0.000694
96,1378.14,0.53339,0.31948,0.94793,0.90557,0.83793,0.8823,0.624,0.80328,0.61059,1.02348,0.000595,0.000595,0.000595
97,2067.43,0.53637,0.32132,0.9489,0.90455,0.83762,0.87983,0.6234,0.80339,0.61094,1.02421,0.000496,0.000496,0.000496
98,688.368,0.4971,0.30418,0.93665,0.90458,0.8375,0.87976,0.6232,0.80352,0.61161,1.02519,0.000397,0.000397,0.000397
99,1377.24,0.52504,0.31509,0.94665,0.90506,0.83728,0.87984,0.62345,0.80379,0.61182,1.0266,0.000298,0.000298,0.000298
100,2099.3,0.52856,0.31645,0.94742,0.9042,0.83775,0.87995,0.62224,0.80366,0.61209,1.02714,0.000199,0.000199,0.000199
